CoC Number,CoC Name,Year,Attribute Name,Value,Year - Text
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Homeless Individuals,359,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Homeless People in Families,79,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,44,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,5,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,368,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Total Homeless,438,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,10,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,70,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Homeless Veterans,34,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,10,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,20,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,10,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,16,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,16,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,26,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,29,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,26,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,315,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,80,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,30,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,167,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,78,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,64,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,15,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,133,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Total Homeless,245,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,37,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,112,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,90,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,37,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,78,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,41,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,2,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,2,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,48,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,75,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,43,2014
AL-506,Tuscaloosa City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,103,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Chronically Homeless,50,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,196,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Homeless Individuals,394,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Homeless People in Families,322,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,46,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,7,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,544,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Total Homeless,716,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,28,2014
NJ-512,Salem County CoC,01/01/2015 12:00:00 AM,Sheltered Homeless,37,2015
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,172,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Homeless Veterans,73,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,10,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,19,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,9,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,18,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,31,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,13,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,126,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,66,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,22,2014
AL-507,Alabama Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,348,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Chronically Homeless,350,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,123,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Homeless Individuals,951,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Homeless People in Families,123,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,503,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,56,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,571,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Total Homeless,1074,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,2,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,503,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Homeless Veterans,197,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,304,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,304,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,2,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,46,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,44,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,141,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,348,2014
AR-500,Little Rock/Central Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,448,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Chronically Homeless,39,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,118,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Homeless Individuals,388,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Homeless People in Families,163,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,177,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,57,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,329,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Total Homeless,551,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,1,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,222,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Homeless Veterans,98,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,38,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,38,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,1,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,1,2014
AR-501,Fayetteville/Northwest Arkansas CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,0,2014
